Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['SP, SP, *']	2020-10-19	237	46289333	44180641	2108692	124702	1908448	75542
['SP, SP, *']	2020-10-20	238	46289333	44172089	2117244	123139	1918297	75808
['SP, SP, *']	2020-10-21	239	46289333	44164032	2125301	119700	1929556	76045
['SP, SP, *']	2020-10-22	240	46289333	44156796	2132537	113260	1943006	76271
['SP, SP, *']	2020-10-23	241	46289333	44148449	2140884	109237	1955139	76508
['SP, SP, *']	2020-10-24	242	46289333	44140843	2148490	107548	1964224	76718
['SP, SP, *']	2020-10-25	243	46289333	44132735	2156598	110860	1968812	76926
['SP, SP, *']	2020-10-26	244	46289333	44124505	2164828	115444	1972253	77131
['SP, SP, *']	2020-10-27	245	46289333	44116149	2173184	116839	1979031	77314
['SP, SP, *']	2020-10-28	246	46289333	44107486	2181847	114419	1989932	77496
['SP, SP, *']	2020-10-29	247	46289333	44098366	2190967	112652	2000637	77678
['SP, SP, *']	2020-10-30	248	46289333	44089753	2199580	110979	2010738	77863
['SP, SP, *']	2020-10-31	249	46289333	44082075	2207258	109938	2019290	78030
['SP, SP, *']	2020-11-01	250	46289333	44075030	2214303	113083	2023026	78194
['SP, SP, *']	2020-11-02	251	46289333	44067901	2221432	114909	2028160	78363
['SP, SP, *']	2020-11-03	252	46289333	44062090	2227243	111992	2036751	78500
['SP, SP, *']	2020-11-04	253	46289333	44056457	2232876	108641	2045580	78655
['SP, SP, *']	2020-11-05	254	46289333	44051578	2237755	102847	2056082	78826
['SP, SP, *']	2020-11-06	255	46289333	44048107	2241226	95125	2067143	78958
['SP, SP, *']	2020-11-07	256	46289333	44045304	2244029	89041	2075914	79074
['SP, SP, *']	2020-11-08	257	46289333	44042647	2246686	86589	2080910	79187
['SP, SP, *']	2020-11-09	258	46289333	44040321	2249012	83202	2086517	79293
['SP, SP, *']	2020-11-10	259	46289333	44032062	2257271	82177	2095700	79394
['SP, SP, *']	2020-11-11	260	46289333	44024184	2265149	79420	2106233	79496
['SP, SP, *']	2020-11-12	261	46289333	44015408	2273925	78204	2116086	79635
['SP, SP, *']	2020-11-13	262	46289333	44004881	2284452	80879	2123799	79774
['SP, SP, *']	2020-11-14	263	46289333	43993028	2296305	88079	2128214	80012
['SP, SP, *']	2020-11-15	264	46289333	43980827	2308506	98104	2130148	80254
['SP, SP, *']	2020-11-16	265	46289333	43968415	2320918	107459	2132960	80499
['SP, SP, *']	2020-11-17	266	46289333	43959665	2329668	110579	2138295	80794
['SP, SP, *']	2020-11-18	267	46289333	43950058	2339275	113510	2144680	81085
['SP, SP, *']	2020-11-19	268	46289333	43940161	2349172	118596	2149242	81334
