Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
Sudeste, SP, *	2020-07-14	182	45919049	0	386607	265900	18324
Sudeste, SP, *	2020-07-15	183	45919049	0	393176	274397	18640
Sudeste, SP, *	2020-07-16	184	45919049	0	402048	285967	19038
Sudeste, SP, *	2020-07-17	185	45919049	0	407415	294527	19377
Sudeste, SP, *	2020-07-18	186	45919049	0	412027	297297	19647
Sudeste, SP, *	2020-07-19	187	45919049	0	415049	304480	19732
Sudeste, SP, *	2020-07-20	188	45919049	0	416434	307374	19788
Sudeste, SP, *	2020-07-21	189	45919049	0	422669	316330	20171
Sudeste, SP, *	2020-07-22	190	45919049	0	439446	324848	20532
Sudeste, SP, *	2020-07-23	191	45919049	0	452007	333635	20894
Sudeste, SP, *	2020-07-24	192	45919049	0	463218	342707	21206
Sudeste, SP, *	2020-07-25	193	45919049	0	479481	349513	21517
Sudeste, SP, *	2020-07-26	194	45919049	0	483982	354986	21606
Sudeste, SP, *	2020-07-27	195	45919049	0	487654	357667	21676
Sudeste, SP, *	2020-07-28	196	45919049	0	487654	369177	21676
Sudeste, SP, *	2020-07-29	197	45919049	0	514197	375771	22389
Sudeste, SP, *	2020-07-30	198	45919049	0	529006	384181	22710
Sudeste, SP, *	2020-07-31	199	45919049	0	542304	390795	22997
Sudeste, SP, *	2020-08-01	200	45919049	0	552318	395826	23236
Sudeste, SP, *	2020-08-02	201	45919049	0	558685	399158	23317
Sudeste, SP, *	2020-08-03	202	45919049	0	560218	400784	23365
Sudeste, SP, *	2020-08-04	203	45919049	0	575589	407889	23702
Sudeste, SP, *	2020-08-05	204	45919049	0	585265	422865	24109
Sudeste, SP, *	2020-08-06	205	45919049	0	598670	434769	24448
Sudeste, SP, *	2020-08-07	206	45919049	0	608379	445097	24735
Sudeste, SP, *	2020-08-08	207	45919049	0	621731	459269	25016
Sudeste, SP, *	2020-08-09	208	45919049	0	627126	463645	25114
Sudeste, SP, *	2020-08-10	209	45919049	0	628415	466983	25151
Sudeste, SP, *	2020-08-11	210	45919049	0	639562	468167	25571
Sudeste, SP, *	2020-08-12	211	45919049	0	655181	492443	25869
Sudeste, SP, *	2020-08-13	212	45919049	0	674455	506809	26324
Sudeste, SP, *	2020-08-14	213	45919049	0	686122	519576	26613
Sudeste, SP, *	2020-08-15	214	45919049	0	697530	530055	26780
Sudeste, SP, *	2020-08-16	215	45919049	0	699493	536224	26852
Sudeste, SP, *	2020-08-17	216	45919049	0	702665	538124	26899
Sudeste, SP, *	2020-08-18	217	45919049	0	711530	551056	27315
Sudeste, SP, *	2020-08-19	218	45919049	0	721377	563042	27591
Sudeste, SP, *	2020-08-20	219	45919049	0	730828	576390	27905
Sudeste, SP, *	2020-08-21	220	45919049	0	735960	586585	28155
Sudeste, SP, *	2020-08-22	221	45919049	0	749244	599191	28392
Sudeste, SP, *	2020-08-23	222	45919049	0	754129	604707	28467
Sudeste, SP, *	2020-08-24	223	45919049	0	756480	606096	28505
Sudeste, SP, *	2020-08-25	224	45919049	0	765670	617877	28912
Sudeste, SP, *	2020-08-26	225	45919049	0	776135	632211	29194
Sudeste, SP, *	2020-08-27	226	45919049	0	784453	650143	29415
Sudeste, SP, *	2020-08-28	227	45919049	0	796209	661220	29694
Sudeste, SP, *	2020-08-29	228	45919049	0	801422	672560	29944
Sudeste, SP, *	2020-08-30	229	45919049	0	803404	675056	29978
Sudeste, SP, *	2020-08-31	230	45919049	0	804342	677875	30014
Sudeste, SP, *	2020-09-01	231	45919049	0	814375	686927	30375
Sudeste, SP, *	2020-09-02	232	45919049	0	826331	697928	30673
Sudeste, SP, *	2020-09-03	233	45919049	0	837978	708909	30905
Sudeste, SP, *	2020-09-04	234	45919049	0	845016	715259	31091
Sudeste, SP, *	2020-09-05	235	45919049	0	853085	728429	31313
Sudeste, SP, *	2020-09-06	236	45919049	0	855722	732885	31353
Sudeste, SP, *	2020-09-07	237	45919049	0	857330	735416	31377
Sudeste, SP, *	2020-09-08	238	45919049	0	858783	744101	31430
Sudeste, SP, *	2020-09-09	239	45919049	0	866576	755283	31821
Sudeste, SP, *	2020-09-10	240	45919049	0	874754	764084	32104
Sudeste, SP, *	2020-09-11	241	45919049	0	882809	774989	32338
Sudeste, SP, *	2020-09-12	242	45919049	0	890690	781571	32567
Sudeste, SP, *	2020-09-13	243	45919049	0	892257	784178	32606
Sudeste, SP, *	2020-09-14	244	45919049	0	893349	785343	32642
Sudeste, SP, *	2020-09-15	245	45919049	0	901271	795524	32963
Sudeste, SP, *	2020-09-16	246	45919049	0	909428	807157	33253
Sudeste, SP, *	2020-09-17	247	45919049	0	916821	818425	33472
Sudeste, SP, *	2020-09-18	248	45919049	0	924532	826257	33678
Sudeste, SP, *	2020-09-19	249	45919049	0	931673	834190	33927
Sudeste, SP, *	2020-09-20	250	45919049	0	935300	836873	33952
Sudeste, SP, *	2020-09-21	251	45919049	0	937332	838371	33984
Sudeste, SP, *	2020-09-22	252	45919049	0	945422	841509	34266
Sudeste, SP, *	2020-09-23	253	45919049	0	951973	850276	34492
Sudeste, SP, *	2020-09-24	254	45919049	0	958240	859494	34677
Sudeste, SP, *	2020-09-25	255	45919049	0	964921	867587	34877
Sudeste, SP, *	2020-09-26	256	45919049	0	970888	875670	35063
Sudeste, SP, *	2020-09-27	257	45919049	0	972237	877406	35108
Sudeste, SP, *	2020-09-28	258	45919049	0	973142	878674	35125
Sudeste, SP, *	2020-09-29	259	45919049	0	979519	885737	35391
Sudeste, SP, *	2020-09-30	260	45919049	0	985628	893927	35622
Sudeste, SP, *	2020-10-01	261	45919049	0	991725	901532	35804
Sudeste, SP, *	2020-10-02	262	45919049	0	997333	909162	35956
Sudeste, SP, *	2020-10-03	263	45919049	0	1003429	916713	36136
Sudeste, SP, *	2020-10-04	264	45919049	0	1003902	920114	36178
Sudeste, SP, *	2020-10-05	265	45919049	0	1004579	922030	36220
Sudeste, SP, *	2020-10-06	266	45919049	0	1010839	930151	36490
Sudeste, SP, *	2020-10-07	267	45919049	0	1016755	937122	36669
Sudeste, SP, *	2020-10-08	268	45919049	0	1022404	943649	36884
Sudeste, SP, *	2020-10-09	269	45919049	0	1028190	950727	37068
Sudeste, SP, *	2020-10-10	270	45919049	0	1034816	956820	37223
Sudeste, SP, *	2020-10-11	271	45919049	0	1037660	958519	37256
Sudeste, SP, *	2020-10-12	272	45919049	0	1038344	959583	37279
Sudeste, SP, *	2020-10-13	273	45919049	0	1039029	966382	37314
Sudeste, SP, *	2020-10-14	274	45919049	0	1045060	972845	37541
Sudeste, SP, *	2020-10-15	275	45919049	0	1051613	979243	37690
Sudeste, SP, *	2020-10-16	276	45919049	0	1057240	985072	37870
Sudeste, SP, *	2020-10-17	277	45919049	0	1062634	991248	37992
Sudeste, SP, *	2020-10-18	278	45919049	0	1063602	991951	38020
Sudeste, SP, *	2020-10-19	279	45919049	0	1064039	992706	38035
Sudeste, SP, *	2020-10-20	280	45919049	0	1068962	998742	38246
Sudeste, SP, *	2020-10-21	281	45919049	0	1073261	1004778	38371
Sudeste, SP, *	2020-10-22	282	45919049	0	1076939	1010616	38482
Sudeste, SP, *	2020-10-23	283	45919049	0	1083641	1016490	38608
Sudeste, SP, *	2020-10-24	284	45919049	0	1089255	1023104	38726
Sudeste, SP, *	2020-10-25	285	45919049	0	1091980	1025552	38747
Sudeste, SP, *	2020-10-26	286	45919049	0	1092843	1026255	38753
Sudeste, SP, *	2020-10-27	287	45919049	0	1098207	1028082	38885
Sudeste, SP, *	2020-10-28	288	45919049	0	1103582	1034203	39007
Sudeste, SP, *	2020-10-29	289	45919049	0	1108860	1040671	39119
Sudeste, SP, *	2020-10-30	290	45919049	0	1113788	1046424	39255
