Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['*, *, *']	2020-11-09	258	211755692	200574524	11181168	528040	10331002	322126
['*, *, *']	2020-11-10	259	211755692	200530253	11225439	518732	10383934	322773
['*, *, *']	2020-11-11	260	211755692	200485943	11269749	509836	10436507	323406
['*, *, *']	2020-11-12	261	211755692	200438814	11316878	509917	10482836	324125
['*, *, *']	2020-11-13	262	211755692	200386364	11369328	526920	10517478	324930
['*, *, *']	2020-11-14	263	211755692	200330886	11424806	556617	10542306	325883
['*, *, *']	2020-11-15	264	211755692	200274521	11481171	590008	10564343	326820
['*, *, *']	2020-11-16	265	211755692	200217608	11538084	617126	10593177	327781
['*, *, *']	2020-11-17	266	211755692	200164045	11591647	629208	10633564	328875
['*, *, *']	2020-11-18	267	211755692	200107661	11648031	638619	10679389	330023
['*, *, *']	2020-11-19	268	211755692	200050429	11705263	652631	10721531	331101
['*, *, *']	2020-11-20	269	211755692	199981703	11773989	684458	10757117	332414
['*, *, *']	2020-11-21	270	211755692	199911171	11844521	725211	10785683	333627
['*, *, *']	2020-11-22	271	211755692	199838869	11916823	764206	10817759	334858
['*, *, *']	2020-11-23	272	211755692	199766224	11989468	777789	10875567	336112
['*, *, *']	2020-11-24	273	211755692	199694104	12061588	785888	10938353	337347
['*, *, *']	2020-11-25	274	211755692	199618451	12137241	803271	10995413	338557
['*, *, *']	2020-11-26	275	211755692	199541403	12214289	814836	11059668	339785
['*, *, *']	2020-11-27	276	211755692	199477780	12277912	821966	11115180	340766
['*, *, *']	2020-11-28	277	211755692	199408731	12346961	853361	11151802	341798
['*, *, *']	2020-11-29	278	211755692	199338957	12416735	889762	11184132	342841
['*, *, *']	2020-11-30	279	211755692	199267408	12488284	911705	11232690	343889
['*, *, *']	2020-12-01	280	211755692	199190503	12565189	925366	11294864	344959
['*, *, *']	2020-12-02	281	211755692	199113057	12642635	930236	11366366	346033
['*, *, *']	2020-12-03	282	211755692	199032972	12722720	910219	11465379	347122
['*, *, *']	2020-12-04	283	211755692	198948351	12807341	906309	11552779	348253
['*, *, *']	2020-12-05	284	211755692	198867146	12888546	937500	11601639	349407
['*, *, *']	2020-12-06	285	211755692	198784667	12971025	980425	11640010	350590
['*, *, *']	2020-12-07	286	211755692	198701237	13054455	1009313	11693348	351794
['*, *, *']	2020-12-08	287	211755692	198619049	13136643	1014176	11769437	353030
['*, *, *']	2020-12-09	288	211755692	198535068	13220624	1019814	11846494	354316
['*, *, *']	2020-12-10	289	211755692	198450278	13305414	1031908	11917904	355602
['*, *, *']	2020-12-11	290	211755692	198364967	13390725	1040314	11993538	356873
['*, *, *']	2020-12-12	291	211755692	198278492	13477200	1061566	12057473	358161
['*, *, *']	2020-12-13	292	211755692	198193217	13562475	1095970	12107067	359438
['*, *, *']	2020-12-14	293	211755692	198107440	13648252	1108013	12179496	360743
['*, *, *']	2020-12-15	294	211755692	198022165	13733527	1100352	12271101	362074
['*, *, *']	2020-12-16	295	211755692	197933025	13822667	1096766	12362458	363443
['*, *, *']	2020-12-17	296	211755692	197839392	13916300	1098184	12453218	364898
['*, *, *']	2020-12-18	297	211755692	197744814	14010878	1108308	12536164	366406
['*, *, *']	2020-12-19	298	211755692	197649550	14106142	1139894	12598349	367899
['*, *, *']	2020-12-20	299	211755692	197553202	14202490	1178747	12654315	369428
['*, *, *']	2020-12-21	300	211755692	197457208	14298484	1200630	12726887	370967
['*, *, *']	2020-12-22	301	211755692	197358356	14397336	1204197	12820612	372527
['*, *, *']	2020-12-23	302	211755692	197265708	14489984	1195764	12920136	374084
['*, *, *']	2020-12-24	303	211755692	197176383	14579309	1189540	13014215	375554
['*, *, *']	2020-12-25	304	211755692	197095799	14659893	1185127	13097837	376929
['*, *, *']	2020-12-26	305	211755692	197023586	14732106	1189470	13164432	378204
['*, *, *']	2020-12-27	306	211755692	196954009	14801683	1201412	13220822	379449
['*, *, *']	2020-12-28	307	211755692	196884256	14871436	1191810	13298935	380691
['*, *, *']	2020-12-29	308	211755692	196814379	14941313	1150806	13408549	381958
['*, *, *']	2020-12-30	309	211755692	196743659	15012033	1097302	13531478	383253
['*, *, *']	2020-12-31	310	211755692	196671845	15083847	1056888	13642294	384665
['*, *, *']	2021-01-01	311	211755692	196600379	15155313	1035525	13733723	386065
['*, *, *']	2021-01-02	312	211755692	196529002	15226690	1036259	13802960	387471
['*, *, *']	2021-01-03	313	211755692	196457662	15298030	1044382	13864777	388871
['*, *, *']	2021-01-04	314	211755692	196387019	15368673	1031938	13946447	390288
['*, *, *']	2021-01-05	315	211755692	196316009	15439683	1004151	14043790	391742
['*, *, *']	2021-01-06	316	211755692	196241663	15514029	978855	14141931	393243
['*, *, *']	2021-01-07	317	211755692	196159069	15596623	986515	14215263	394845
['*, *, *']	2021-01-08	318	211755692	196065448	15690244	1031660	14261954	396630
['*, *, *']	2021-01-09	319	211755692	195962170	15793522	1090732	14304179	398611
['*, *, *']	2021-01-10	320	211755692	195855277	15900415	1142116	14357653	400646
['*, *, *']	2021-01-11	321	211755692	195746977	16008715	1163860	14442209	402646
['*, *, *']	2021-01-12	322	211755692	195637344	16118348	1170272	14543442	404634
['*, *, *']	2021-01-13	323	211755692	195527543	16228149	1174089	14647434	406626
['*, *, *']	2021-01-14	324	211755692	195424603	16331089	1196758	14725846	408485
['*, *, *']	2021-01-15	325	211755692	195319163	16436529	1252948	14773241	410340
['*, *, *']	2021-01-16	326	211755692	195211199	16544493	1316022	14816231	412240
['*, *, *']	2021-01-17	327	211755692	195102936	16652756	1370036	14868574	414146
['*, *, *']	2021-01-18	328	211755692	194994420	16761272	1391565	14953643	416064
['*, *, *']	2021-01-19	329	211755692	194886178	16869514	1383047	15068482	417985
['*, *, *']	2021-01-20	330	211755692	194776771	16978921	1354254	15204714	419953
['*, *, *']	2021-01-21	331	211755692	194669414	17086278	1330317	15333958	422003
['*, *, *']	2021-01-22	332	211755692	194565470	17190222	1335763	15430405	424054
['*, *, *']	2021-01-23	333	211755692	194462140	17293552	1364795	15502661	426096
['*, *, *']	2021-01-24	334	211755692	194359384	17396308	1401172	15566976	428160
['*, *, *']	2021-01-25	335	211755692	194256397	17499295	1409740	15659276	430279
['*, *, *']	2021-01-26	336	211755692	194153324	17602368	1396263	15773704	432401
['*, *, *']	2021-01-27	337	211755692	194050560	17705132	1377047	15893586	434499
['*, *, *']	2021-01-28	338	211755692	193947174	17808518	1355761	16016132	436625
['*, *, *']	2021-01-29	339	211755692	193842898	17912794	1350145	16123894	438755
['*, *, *']	2021-01-30	340	211755692	193740436	18015256	1371735	16202626	440895
['*, *, *']	2021-01-31	341	211755692	193638122	18117570	1406002	16268541	443027
['*, *, *']	2021-02-01	342	211755692	193536366	18219326	1411641	16362544	445141
['*, *, *']	2021-02-02	343	211755692	193436133	18319559	1389922	16482352	447285
['*, *, *']	2021-02-03	344	211755692	193338859	18416833	1365344	16602099	449390
['*, *, *']	2021-02-04	345	211755692	193243025	18512667	1344478	16716748	451441
['*, *, *']	2021-02-05	346	211755692	193150084	18605608	1330162	16821916	453530
['*, *, *']	2021-02-06	347	211755692	193058968	18696724	1337639	16903537	455548
['*, *, *']	2021-02-07	348	211755692	192966870	18788822	1360257	16970998	457567
['*, *, *']	2021-02-08	349	211755692	192875285	18880407	1355580	17065222	459605
['*, *, *']	2021-02-09	350	211755692	192786380	18969312	1321935	17185735	461642
['*, *, *']	2021-02-10	351	211755692	192695658	19060034	1290475	17305837	463722
['*, *, *']	2021-02-11	352	211755692	192606946	19148746	1260936	17421988	465822
['*, *, *']	2021-02-12	353	211755692	192517882	19237810	1244303	17525569	467938
['*, *, *']	2021-02-13	354	211755692	192426672	19329020	1255272	17603627	470121
['*, *, *']	2021-02-14	355	211755692	192335519	19420173	1278454	17669387	472332
['*, *, *']	2021-02-15	356	211755692	192245387	19510305	1278841	17756953	474511
['*, *, *']	2021-02-16	357	211755692	192149775	19605917	1265676	17863598	476643
['*, *, *']	2021-02-17	358	211755692	192058034	19697658	1247397	17971532	478729
['*, *, *']	2021-02-18	359	211755692	191966326	19789366	1235024	18073511	480831
['*, *, *']	2021-02-19	360	211755692	191872773	19882919	1235402	18164550	482967
