t	gamma	gamma_r	gamma_d	beta	N	S	S_	I	I_	R	R_	D	D_	∆S(t)	∆S_(t)	∆I(t)	∆I_(t)	∆R(t)	∆R_(t)	∆D(t)	∆D_(t)
64	0.03058477665539594	0.020389851103597294	0.010194925551798647	0.07133260978729052	10000.0	9786.692896131091	9786.692896130466	125.18854331115797	125.18854331160115	58.74570703843825	58.74570703861994	29.372853519219124	29.37285351930997	-8.416784016671954	-8.41678401670266	4.732553866680107	4.732553866676557	2.456153433341626	2.4561534333507353	1.228076716670813	1.2280767166753677
65	0.0305838231993823	0.020389215466254867	0.010194607733127433	0.07132913740319281	10000.0	9777.953354409135	9777.953354408479	130.09922139610885	130.09922139658775	61.298282796429	61.29828279661973	30.6491413982145	30.649141398309865	-8.739541721955902	-8.739541721986283	4.910678084950874	4.910678084986601	2.552575757990752	2.5525757579997883	1.276287878995376	1.2762878789998942
66	0.03058283335055098	0.02038855556703399	0.010194277783516994	0.07132553350014356	10000.0	9768.87954546491	9768.87954546422	135.1940987547848	135.1940987552757	63.95090385346626	63.95090385366675	31.97545192673313	31.975451926833376	-9.073808944225675	-9.073808944258467	5.094877358675944	5.094877358687932	2.6526210570372584	2.652621057047023	1.3263105285186292	1.3263105285235115
67	0.030581805824694427	0.020387870549796284	0.010193935274898142	0.071321793520986	10000.0	9759.459618874123	9759.459618873401	140.4794067533863	140.47940675388512	66.70731624826327	66.70731624847377	33.353658124131634	33.35365812423689	-9.419926590786417	-9.419926590819959	5.285307998601496	5.285307998609429	2.7564123947970103	2.756412394807019	1.3782061973985051	1.3782061974035096
68	0.030580739300679526	0.02038715953378635	0.010193579766893175	0.0713179127843374	10000.0	9749.68137889052	9749.681378889763	145.96153279728054	145.9615327978068	69.57139220806349	69.57139220828417	34.78569610403174	34.78569610414208	-9.778239983603271	-9.778239983637269	5.4821260438942545	5.482126043921688	2.8640759598002177	2.8640759598103873	1.4320379799001088	1.4320379799051937
69	0.030579632420062446	0.020386421613374964	0.010193210806687482	0.07131388648479135	10000.0	9739.532280495383	9739.53228049459	151.64701961000677	151.6470196105624	72.54713326299763	72.54713326322904	36.27356663149882	36.27356663161452	-10.149098395137116	-10.14909839517292	5.685486812726225	5.685486812755607	2.975741054934147	2.975741054944876	1.4878705274670736	1.487870527472438
70	0.03057848378677592	0.020385655857850613	0.010192827928925306	0.07130970969191991	10000.0	9728.999425967108	9728.999425966276	157.54256402099756	157.54256402158663	75.63867334117897	75.63867334142171	37.819336670589486	37.819336670710854	-10.532854528275493	-10.532854528313228	5.895544410990794	5.895544411024229	3.091540078181339	3.0915400781926663	1.5457700390906695	1.5457700390963331
71	0.030577291966871492	0.02038486131124766	0.01019243065562383	0.071305377350927	10000.0	9718.069562030607	9718.069562029736	163.65501521785393	163.655015218466	78.85028183427443	78.85028183452917	39.42514091713721	39.425140917264585	-10.929863936500624	-10.929863936540558	6.1124511968563695	6.1124511968793644	3.2116084930954543	3.2116084931074624	1.6058042465477271	1.6058042465537312
72	0.030576055488367577	0.02038403699224505	0.010192018496122526	0.07130088428183326	10000.0	9706.729077649592	9706.729077648679	169.99137241668876	169.99137241734445	82.1863666223805	82.18636662264772	41.09318331119025	41.09318331132386	-11.340484381014903	-11.3404843810563	6.336357198834833	6.336357198878468	3.336084788106078	3.3360847881185545	1.668042394053039	1.6680423940592772
73	0.030574772841109807	0.020383181894073205	0.010191590947036602	0.07129622518182474	10000.0	9694.964002528974	9694.964002528017	176.55878190175386	176.55878190243058	85.65147704608479	85.65147704636539	42.825738523042396	42.82573852318269	-11.765075120618349	-11.76507512066262	6.567409485065099	6.567409485086139	3.4651104237042887	3.4651104237176544	1.7325552118521443	1.7325552118588272
74	0.030573442476819444	0.020382294984546297	0.010191147492273149	0.07129139462491586	10000.0	9682.760006397708	9682.760006396706	183.36453338327146	183.36453338397203	89.25030681258424	89.25030681287863	44.62515340629212	44.62515340643932	-12.20399613126574	-12.20399613131131	6.8057514815176035	6.805751481541446	3.598829766499449	3.598829766513243	1.7994148832497245	1.7994148832566215
75	0.03057206280912837	0.02038137520608558	0.01019068760304279	0.07128638706371716	10000.0	9670.10239914714	9670.10239914609	190.41605562014422	190.41605562088398	92.98769682170577	92.98769682201444	46.493848410852884	46.49384841100722	-12.657607250568617	-12.657607250615667	7.051522236872756	7.051522236911959	3.737390009121526	3.7373900091358054	1.868695004560763	1.8686950045679027
